join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [0, [16, 128], [[[1, 0, (-48, -6), (0, 0), [64, 48, 14, 1], 0, 64, 1], []], [[0, 1, (48, 6), (0, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [1, [16, 128], [[[1, 0, (-47, -6), (1, 0), [64, 48, 14, 1], 0, 64, 1], []], [[0, 1, (47, 6), (-1, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [2, [16, 128], [[[1, 0, (-45, -6), (2, 0), [64, 48, 14, 1], 0, 64, 1], []], [[0, 1, (45, 6), (-2, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [3, [16, 128], [[[1, 0, (-42, -6), (3, 0), [64, 48, 14, 1], 0, 64, 1], []], [[0, 1, (42, 6), (-3, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [4, [16, 128], [[[1, 0, (-38, -6), (4, 0), [64, 48, 14, 1], 0, 64, 1], []], [[0, 1, (38, 6), (-4, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [5, [16, 128], [[[1, 0, (-33, -6), (5, 0), [64, 48, 14, 1], 0, 64, 1], []], [[0, 1, (33, 6), (-5, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [6, [16, 128], [[[1, 0, (-27, -6), (6, 0), [64, 48, 14, 1], 0, 64, 1], []], [[0, 1, (27, 6), (-6, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [7, [16, 128], [[[1, 0, (-20, -6), (7, 0), [64, 48, 14, 1], 0, 64, 1], []], [[0, 1, (20, 6), (-7, 0), [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 2, [256, 0, [512, 1, 64], [16, 128], [64, 48, 14, 1]], [8, [16, 128], [[[1, 0, (-12, -6), (8, 0), [0, 0, 0, 0], 0, 64, 1], []], [[0, 1, (12, 6), (-8, 0), [0, 0, 0, 0], 0, 64, 1], []]]]]
